meanValue,medianValue,standardDeviation,meanAbsoluteDeviation,quantile25,quantile75,signalIQR,sampleSkewness,sampleKurtosis,spectralEntropy,dominantFrequencyValue,dominantFrequencyMagnitude,dominantFrequencyRatio,Error1,Error2,Error3,Error4
0.016016731,0.01601705,6.55E-05,5.63E-05,0.015958433,0.016070175,0.000111742,0.041627513,1.835921086,-0.272064781,0,0.656381081,0.998630081,1,0,0,0
0.016016964,0.016016829,6.54E-05,5.61E-05,0.015958797,0.016070675,0.000111877,0.049415222,1.841527011,-0.272066423,0,0.656381094,0.998631,1,0,0,0
0.016017358,0.016017796,6.52E-05,5.59E-05,0.015958797,0.016070675,0.000111877,0.029970666,1.845824575,-0.27205694,0,0.656381128,0.998623538,1,0,0,0
0.016016692,0.016016829,6.58E-05,5.66E-05,0.015957485,0.016071787,0.000114302,0.042030724,1.822901598,-0.272074477,0,0.656381008,0.998630963,1,0,0,0
0.016017548,0.016018092,6.59E-05,5.67E-05,0.015957616,0.016072739,0.000115123,0.020034951,1.814540879,-0.272067497,0,0.656380981,0.998629968,1,0,0,0
0.016017468,0.016017608,6.63E-05,5.72E-05,0.015957677,0.016072906,0.000115228,0.027435103,1.802056675,-0.272069203,0,0.656380898,0.998630362,1,0,0,0
0.016017121,0.016017491,6.63E-05,5.70E-05,0.015957588,0.016072739,0.00011515,0.033480777,1.815738951,-0.272068345,0,0.656380893,0.998626507,1,0,0,0
0.016016223,0.016016829,6.63E-05,5.72E-05,0.015957094,0.016072237,0.000115143,0.046682066,1.806946241,-0.272072477,0,0.656380879,0.998636314,1,0,0,0
0.016015684,0.016016441,6.62E-05,5.72E-05,0.015956474,0.016071911,0.000115437,0.051307357,1.804875666,-0.272078892,0,0.6563809,0.998632676,1,0,0,0
0.016015988,0.016016618,6.65E-05,5.73E-05,0.015957467,0.01607266,0.000115193,0.062153249,1.811857794,-0.272069884,0,0.656380854,0.998635396,1,0,0,0
0.016015582,0.016015997,6.67E-05,5.76E-05,0.015956424,0.016072672,0.000116248,0.061884584,1.799835811,-0.272072868,0,0.656380805,0.998629041,1,0,0,0
0.01601677,0.016017538,6.69E-05,5.79E-05,0.015957347,0.016073765,0.000116417,0.028022591,1.787946974,-0.272058054,0,0.656380751,0.998633611,1,0,0,0
0.01601583,0.016016774,6.67E-05,5.79E-05,0.015956427,0.016072865,0.000116439,0.045519098,1.785473451,-0.272084132,0,0.656380795,0.998633744,1,0,0,0
0.01601611,0.016016302,6.68E-05,5.79E-05,0.015958354,0.016073592,0.000115238,0.052205815,1.791242595,-0.272072491,0,0.656380783,0.998625433,1,0,0,0
0.016016102,0.016016302,6.73E-05,5.85E-05,0.015956995,0.0160746,0.000117605,0.051640521,1.77254735,-0.272084679,0,0.656380649,0.99863576,1,0,0,0
0.016017013,0.016016441,6.72E-05,5.84E-05,0.015958807,0.016075362,0.000116555,0.043679748,1.775157563,-0.272070617,0,0.656380676,0.998631511,1,0,0,0
0.016016897,0.016016774,6.72E-05,5.85E-05,0.01595836,0.016075016,0.000116656,0.041782069,1.762927725,-0.272064472,0,0.656380694,0.998629843,1,0,0,0
0.016015937,0.016013113,6.72E-05,5.84E-05,0.015958237,0.016074472,0.000116234,0.073742434,1.771837832,-0.272075239,0,0.656380689,0.998621554,1,0,0,0
0.016016007,0.016013113,6.72E-05,5.83E-05,0.015958592,0.01607452,0.000115928,0.069894788,1.784711219,-0.27207941,0,0.656380674,0.998631787,1,0,0,0
