Time,outerFrame1.frame_a.r_0[1],outerFrame1.frame_a.r_0[2],outerFrame1.frame_a.r_0[3],"outerFrame1.frame_a.R.T[1, 1]","outerFrame1.frame_a.R.T[1, 2]","outerFrame1.frame_a.R.T[1, 3]","outerFrame1.frame_a.R.T[2, 1]","outerFrame1.frame_a.R.T[2, 2]","outerFrame1.frame_a.R.T[2, 3]","outerFrame1.frame_a.R.T[3, 1]","outerFrame1.frame_a.R.T[3, 2]","outerFrame1.frame_a.R.T[3, 3]",Revolute1.frame_a.r_0[1],Revolute1.frame_a.r_0[2],Revolute1.frame_a.r_0[3],"Revolute1.frame_a.R.T[1, 1]","Revolute1.frame_a.R.T[1, 2]","Revolute1.frame_a.R.T[1, 3]","Revolute1.frame_a.R.T[2, 1]","Revolute1.frame_a.R.T[2, 2]","Revolute1.frame_a.R.T[2, 3]","Revolute1.frame_a.R.T[3, 1]","Revolute1.frame_a.R.T[3, 2]","Revolute1.frame_a.R.T[3, 3]",innerFrame1.frame_a.r_0[1],innerFrame1.frame_a.r_0[2],innerFrame1.frame_a.r_0[3],"innerFrame1.frame_a.R.T[1, 1]","innerFrame1.frame_a.R.T[1, 2]","innerFrame1.frame_a.R.T[1, 3]","innerFrame1.frame_a.R.T[2, 1]","innerFrame1.frame_a.R.T[2, 2]","innerFrame1.frame_a.R.T[2, 3]","innerFrame1.frame_a.R.T[3, 1]","innerFrame1.frame_a.R.T[3, 2]","innerFrame1.frame_a.R.T[3, 3]",Revolute2.frame_a.r_0[1],Revolute2.frame_a.r_0[2],Revolute2.frame_a.r_0[3],"Revolute2.frame_a.R.T[1, 1]","Revolute2.frame_a.R.T[1, 2]","Revolute2.frame_a.R.T[1, 3]","Revolute2.frame_a.R.T[2, 1]","Revolute2.frame_a.R.T[2, 2]","Revolute2.frame_a.R.T[2, 3]","Revolute2.frame_a.R.T[3, 1]","Revolute2.frame_a.R.T[3, 2]","Revolute2.frame_a.R.T[3, 3]",innerRotor1.frame_a.r_0[1],innerRotor1.frame_a.r_0[2],innerRotor1.frame_a.r_0[3],"innerRotor1.frame_a.R.T[1, 1]","innerRotor1.frame_a.R.T[1, 2]","innerRotor1.frame_a.R.T[1, 3]","innerRotor1.frame_a.R.T[2, 1]","innerRotor1.frame_a.R.T[2, 2]","innerRotor1.frame_a.R.T[2, 3]","innerRotor1.frame_a.R.T[3, 1]","innerRotor1.frame_a.R.T[3, 2]","innerRotor1.frame_a.R.T[3, 3]"
3,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998642028,-0.052097017,0,0.052097017,0.998642028,0,0.00104194,0.019972841,1,0,0,0,0.998642028,-0.052097017,0,0.052097017,0.998642028,0,0.00104194,0.019972841,0.34033257,-0.939028224,0.048987092,0.940305132,0.339870408,-0.017730312,0,0.052097017,0.998642028
3.1,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998549931,-0.053833407,0,0.053833407,0.998549931,0,0.001076668,0.019970999,1,0,0,0,0.998549931,-0.053833407,0,0.053833407,0.998549931,0,0.001076668,0.019970999,0.635648665,-0.770859059,0.041558232,0.771978481,0.63472693,-0.034219133,0,0.053833407,0.998549931
3.2,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998453285,-0.055597108,0,0.055597108,0.998453285,0,0.001111942,0.019969066,1,0,0,0,0.998453285,-0.055597108,0,0.055597108,0.998453285,0,0.001111942,0.019969066,0.864067084,-0.502598093,0.027986287,0.503376673,0.862730618,-0.048039631,0,0.055597108,0.998453285
3.3,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998354993,-0.057335054,0,0.057335054,0.998354993,0,0.001146701,0.0199671,1,0,0,0,0.998354993,-0.057335054,0,0.057335054,0.998354993,0,0.001146701,0.0199671,0.986760517,-0.161917308,0.009298834,0.162184102,0.985137288,-0.056575967,0,0.057335054,0.998354993
3.4,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998253711,-0.059072228,0,0.059072228,0.998253711,0,0.001181445,0.019965074,1,0,0,0,0.998253711,-0.059072228,0,0.059072228,0.998253711,0,0.001181445,0.019965074,0.977315105,0.211420583,-0.012510933,-0.21179043,0.97560843,-0.057732181,0,0.059072228,0.998253711
3.5,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998149204,-0.060812557,0,0.060812557,0.998149204,0,0.001216251,0.019962984,1,0,0,0,0.998149204,-0.060812557,0,0.060812557,0.998149204,0,0.001216251,0.019962984,0.82494686,0.564164206,-0.034371883,-0.565210296,0.823420051,-0.050167128,0,0.060812557,0.998149204
3.6,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.998041833,-0.062549985,0,0.062549985,0.998041833,0,0.001251,0.019960837,1,0,0,0,0.998041833,-0.062549985,0,0.062549985,0.998041833,0,0.001251,0.019960837,0.540863762,0.839463178,-0.052611431,-0.841110213,0.53980466,-0.03383102,0,0.062549985,0.998041833
3.7,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.997931201,-0.064290889,0,0.064290889,0.997931201,0,0.001285818,0.019958624,1,0,0,0,0.997931201,-0.064290889,0,0.064290889,0.997931201,0,0.001285818,0.019958624,0.161109318,0.984894794,-0.06345103,-0.986936567,0.160776015,-0.010357861,0,0.064290889,0.997931201
3.8,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.997816392,-0.066048827,0,0.066048827,0.997816392,0,0.001320977,0.019956328,1,0,0,0,0.997816392,-0.066048827,0,0.066048827,0.997816392,0,0.001320977,0.019956328,-0.256585444,0.964411048,-0.063837615,-0.966521552,-0.256025162,0.016947168,0,0.066048827,0.997816392
3.9,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.997700057,-0.067783457,0,0.067783457,0.997700057,0,0.001355669,0.019954001,1,0,0,0,0.997700057,-0.067783457,0,0.067783457,0.997700057,0,0.001355669,0.019954001,-0.637511047,0.768669243,-0.052223169,-0.770441214,-0.636044808,0.043212703,0,0.067783457,0.997700057
